from_address,to_address,block_number,source,csv_file_path,csv_row_number,transaction_hash,token_address,value
0x0000000000000000000000000000000000000000,0xc9885089114ba707908f095df0b12a1be922ae2e,25113716,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113716.csv,314,0xaaed196d746b285698edfa710a8a4a730c7a9ddd26eae4cea60e379c5e5ec1ef,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,0xc9885089114ba707908f095df0b12a1be922ae2e,25113692,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/token_transfer_25113692.csv,132,0x5b17167d70f31d01cc9e7e1c3087a7f027d70dfd7529d6e11aee43832b6615b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15200000
0xa09c7b828b9601127b5cc9e9929e3e672ab1e93b,0xc9885089114ba707908f095df0b12a1be922ae2e,25113689,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/transaction_25113689.csv,171,0xcc0ee855bbd24b424e6d7fc532af9eecd27cc3b42662dcc305d752c5f613842d,,746704082374026
0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,25114622,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114601_25114700/token_transfer_25114622.csv,486,0x45548b9cda5b0f5de1b49e3befe0937cff047f0f3bd0fd32065ff743ab83a5a3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,972800000
0xb069939daf374b7f9ec0db2a70264c13077d2e35,0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,25114435,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114401_25114500/transaction_25114435.csv,244,0x9e33a60d249e100e15416f89597b69fe97a11eb008182e6f91c6e6e239ab75cc,,32200000000000000
0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,25114417,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114401_25114500/transaction_25114417.csv,86,0xd30c0c7ba593d5bb25a2a21f67d3bffbbc914d279514b2acfe18cd6ada1dbb86,,3000000000000000
0x4d78bad9182ea15bc09a25f03e9ffed977926dea,0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,25113810,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113801_25113900/token_transfer_25113810.csv,102,0x0666f3eecfbd052f0afb3b40eb7015aa7bf19736f8e6c5f357d5dfbed9bde528,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2275
0x0000000000000000000000000000000000000000,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113749,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113749.csv,112,0x33faf4dfe2f1fa7c6ee27ce0c992652b70bc800bb109f57b2847548b50c09b1a,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2271
0x0000000000000000000000000000000000000000,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113749,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113749.csv,113,0x33faf4dfe2f1fa7c6ee27ce0c992652b70bc800bb109f57b2847548b50c09b1a,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2272
0x0000000000000000000000000000000000000000,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113749,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113749.csv,114,0x33faf4dfe2f1fa7c6ee27ce0c992652b70bc800bb109f57b2847548b50c09b1a,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2273
0x0000000000000000000000000000000000000000,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113749,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113749.csv,115,0x33faf4dfe2f1fa7c6ee27ce0c992652b70bc800bb109f57b2847548b50c09b1a,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2274
0x0000000000000000000000000000000000000000,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113749,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113749.csv,116,0x33faf4dfe2f1fa7c6ee27ce0c992652b70bc800bb109f57b2847548b50c09b1a,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2275
0x0000000000000000000000000000000000000000,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113741,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113741.csv,194,0x9fc7af5918844e9bbbcbe5cea6023b24350e93d4e991368df4d05f485f8af108,0x894e3f1ca45f9404a8563b09aec7f24fe24c9461,2123
0x0b591fd99bed03d013f446d00a89f4a0ba807a8c,0x4d78bad9182ea15bc09a25f03e9ffed977926dea,25113731,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/transaction_25113731.csv,96,0x02b92c5a180381b0627d38ce14f4ef21af1f482265f72068018dd75b18abca2e,,500000000000000
